AF3_sample,Sequence_group,Restraint_class,Total,Evaluated,Satisfied,Violated,Not_evaluated,Satisfaction_percent
0,all,all,311,311,283,28,0,90.9967845659164
0,all,direct_unambiguous,104,104,88,16,0,84.61538461538461
0,all,legacy_stereospecific,46,46,45,1,0,97.82608695652173
0,all,pseudoatom_group,161,161,150,11,0,93.16770186335404
0,i+1,all,119,119,105,14,0,88.23529411764706
0,i+1,direct_unambiguous,39,39,30,9,0,76.92307692307692
0,i+1,legacy_stereospecific,14,14,14,0,0,100.0
0,i+1,pseudoatom_group,66,66,61,5,0,92.42424242424242
0,i+2,all,31,31,22,9,0,70.96774193548387
0,i+2,direct_unambiguous,23,23,18,5,0,78.26086956521739
0,i+2,pseudoatom_group,8,8,4,4,0,50.0
0,i+3,all,77,77,75,2,0,97.40259740259741
0,i+3,direct_unambiguous,26,26,25,1,0,96.15384615384616
0,i+3,legacy_stereospecific,8,8,8,0,0,100.0
0,i+3,pseudoatom_group,43,43,42,1,0,97.67441860465117
0,i+4,all,14,14,14,0,0,100.0
0,i+4,direct_unambiguous,7,7,7,0,0,100.0
0,i+4,pseudoatom_group,7,7,7,0,0,100.0
0,i+5,all,1,1,0,1,0,0.0
0,i+5,direct_unambiguous,1,1,0,1,0,0.0
0,intra,all,69,69,67,2,0,97.10144927536231
0,intra,direct_unambiguous,8,8,8,0,0,100.0
0,intra,legacy_stereospecific,24,24,23,1,0,95.83333333333333
0,intra,pseudoatom_group,37,37,36,1,0,97.29729729729729
1,all,all,311,311,287,24,0,92.28295819935691
1,all,direct_unambiguous,104,104,88,16,0,84.61538461538461
1,all,legacy_stereospecific,46,46,46,0,0,100.0
1,all,pseudoatom_group,161,161,153,8,0,95.03105590062111
1,i+1,all,119,119,109,10,0,91.59663865546219
1,i+1,direct_unambiguous,39,39,32,7,0,82.05128205128206
1,i+1,legacy_stereospecific,14,14,14,0,0,100.0
1,i+1,pseudoatom_group,66,66,63,3,0,95.45454545454545
1,i+2,all,31,31,20,11,0,64.51612903225806
1,i+2,direct_unambiguous,23,23,16,7,0,69.56521739130434
1,i+2,pseudoatom_group,8,8,4,4,0,50.0
1,i+3,all,77,77,76,1,0,98.7012987012987
1,i+3,direct_unambiguous,26,26,25,1,0,96.15384615384616
1,i+3,legacy_stereospecific,8,8,8,0,0,100.0
1,i+3,pseudoatom_group,43,43,43,0,0,100.0
1,i+4,all,14,14,14,0,0,100.0
1,i+4,direct_unambiguous,7,7,7,0,0,100.0
1,i+4,pseudoatom_group,7,7,7,0,0,100.0
1,i+5,all,1,1,0,1,0,0.0
1,i+5,direct_unambiguous,1,1,0,1,0,0.0
1,intra,all,69,69,68,1,0,98.55072463768116
1,intra,direct_unambiguous,8,8,8,0,0,100.0
1,intra,legacy_stereospecific,24,24,24,0,0,100.0
1,intra,pseudoatom_group,37,37,36,1,0,97.29729729729729
2,all,all,311,311,276,35,0,88.7459807073955
2,all,direct_unambiguous,104,104,82,22,0,78.84615384615384
2,all,legacy_stereospecific,46,46,43,3,0,93.47826086956522
2,all,pseudoatom_group,161,161,151,10,0,93.7888198757764
2,i+1,all,119,119,106,13,0,89.07563025210084
2,i+1,direct_unambiguous,39,39,30,9,0,76.92307692307692
2,i+1,legacy_stereospecific,14,14,14,0,0,100.0
2,i+1,pseudoatom_group,66,66,62,4,0,93.93939393939394
2,i+2,all,31,31,17,14,0,54.83870967741935
2,i+2,direct_unambiguous,23,23,13,10,0,56.52173913043478
2,i+2,pseudoatom_group,8,8,4,4,0,50.0
2,i+3,all,77,77,72,5,0,93.50649350649351
2,i+3,direct_unambiguous,26,26,24,2,0,92.3076923076923
2,i+3,legacy_stereospecific,8,8,6,2,0,75.0
2,i+3,pseudoatom_group,43,43,42,1,0,97.67441860465117
2,i+4,all,14,14,14,0,0,100.0
2,i+4,direct_unambiguous,7,7,7,0,0,100.0
