AF3_sample,Region,Residue_start,Residue_end,Residues_compared,CA_RMSD_A,Backbone_N_CA_C_RMSD_A
0,Full_139aa,1,139,139,24.415227844749005,24.322319354456894
0,Experimental_SPAM_H1_7_44,7,44,38,0.839933814110947,0.7813605341964566
0,Experimental_helical_region_16_41,16,41,26,0.4062065640102639,0.3798575685242808
0,C_terminal_NMR_region_37_44,37,44,8,1.1967380718063587,1.0793089108881584
1,Full_139aa,1,139,139,25.817645847329405,25.745581033066756
1,Experimental_SPAM_H1_7_44,7,44,38,0.8874600185028243,0.8312134095044924
1,Experimental_helical_region_16_41,16,41,26,0.39015474660567734,0.3583884418658079
1,C_terminal_NMR_region_37_44,37,44,8,1.2007398282142054,1.0832836373289523
2,Full_139aa,1,139,139,24.833580756736392,24.743853437804706
2,Experimental_SPAM_H1_7_44,7,44,38,0.8464429190402325,0.7842967663986118
2,Experimental_helical_region_16_41,16,41,26,0.40000082683416255,0.37513441356144
2,C_terminal_NMR_region_37_44,37,44,8,1.2266664728018308,1.090438883815635
3,Full_139aa,1,139,139,25.78794620161457,25.712894235678966
3,Experimental_SPAM_H1_7_44,7,44,38,0.8422868436041282,0.7854056900860754
3,Experimental_helical_region_16_41,16,41,26,0.39038670900309336,0.35887435102469917
3,C_terminal_NMR_region_37_44,37,44,8,1.184524624568131,1.0696087847948472
4,Full_139aa,1,139,139,25.899250713930567,25.824849052128002
4,Experimental_SPAM_H1_7_44,7,44,38,0.7736356254704736,0.7133760530257434
4,Experimental_helical_region_16_41,16,41,26,0.29176229471581666,0.27154876946387496
4,C_terminal_NMR_region_37_44,37,44,8,1.225865164955506,1.0983760108226464
