Target,Rank,Replicate1_Complex,Replicate1_ZRANK,Replicate2_Complex,Replicate2_ZRANK,Replicate3_Complex,Replicate3_ZRANK
5DU3,1,1056,-227.9,1074,-288.7,499,-322.9
5DU3,2,1293,-226.0,81,-285.8,512,-297.2
5DU3,3,1584,-221.2,113,-284.6,413,-289.8
5DU3,4,1770,-221.1,366,-276.0,1169,-288.5
5DU3,5,352,-220.1,689,-272.8,910,-280.1
5DU3,6,1176,-218.7,310,-272.7,52,-279.1
5DU3,7,963,-217.9,874,-271.4,966,-276.3
5DU3,8,297,-216.7,277,-271.1,244,-276.0
5DU3,9,1363,-216.1,746,-270.6,9,-274.5
5DU3,10,174,-215.4,1060,-267.9,1757,-273.5
5DU3,11,4,-215.2,1753,-267.1,710,-273.1
5DU3,12,943,-215.1,892,-263.8,1908,-272.1
5DU3,13,901,-214.8,30,-263.7,144,-271.1
5DU3,14,587,-214.1,818,-263.1,158,-268.9
5DU3,15,340,-211.9,15,-262.9,16,-268.1
5DU3,16,393,-212.0,142,-262.9,1987,-266.6
5DU3,17,548,-211.4,408,-262.7,153,-265.9
5DU3,18,8,-211.0,265,-262.1,80,-265.8
5DU3,19,350,-211.0,612,-261.9,361,-263.8
5DU3,20,127,-210.1,758,-261.4,765,-263.7
2OAY,1,124,-303.5,1222,-273.0,210,-346.1
2OAY,2,11,-289.5,451,-270.4,686,-308.0
2OAY,3,1959,-288.7,1226,-261.9,521,-299.5
2OAY,4,86,-282.3,50,-255.3,1100,-297.7
2OAY,5,10,-280.9,996,-248.6,1077,-293.8
2OAY,6,976,-280.8,1044,-248.1,1317,-292.1
2OAY,7,125,-280.7,267,-247.7,1851,-291.7
2OAY,8,1526,-280.5,1916,-247.6,1022,-291.3
2OAY,9,628,-277.9,598,-245.5,1935,-290.6
2OAY,10,133,-277.4,4,-244.8,311,-287.3
2OAY,11,1228,-275.1,465,-244.7,1618,-286.7
2OAY,12,114,-274.2,1353,-242.9,367,-286.1
2OAY,13,3,-273.9,179,-241.9,863,-286.1
2OAY,14,13,-272.9,291,-241.2,2,-284.7
2OAY,15,1093,-269.9,1265,-240.6,989,-283.0
2OAY,16,433,-268.8,481,-239.8,1761,-281.9
2OAY,17,645,-267.4,9,-239.0,1953,-280.8
2OAY,18,167,-267.4,1023,-238.4,470,-280.7
2OAY,19,87,-267.2,1325,-237.8,1304,-280.7
2OAY,20,1782,-263.5,1556,-237.3,392,-280.1
